,ort,plz,bundesland,latitude,longitude,demand
758,Solingen,42657,Nordrhein-Westfalen,51.15056865,7.076514343835273,163
759,Solingen,42659,Nordrhein-Westfalen,51.15224005,7.087890049999999,228
760,Solingen,42697,Nordrhein-Westfalen,51.1600942,7.001136896440629,290
761,Solingen,42699,Nordrhein-Westfalen,51.136765999999994,7.013672603675852,191
762,Solingen,42719,Nordrhein-Westfalen,51.18003710000001,7.056710304580152,296
763,Sonsbeck,47665,Nordrhein-Westfalen,51.616946899999995,6.369905480805911,187
764,Spenge,32139,Nordrhein-Westfalen,52.14443249999999,8.466362192972099,238
765,Sprockhövel,45549,Nordrhein-Westfalen,51.36752540000001,7.255550191841646,298
766,Stadtlohn,48703,Nordrhein-Westfalen,51.995920500000004,6.894228592601803,177
767,Steinfurt,48565,Nordrhein-Westfalen,52.1294289,7.3903454,219
768,Steinhagen,33803,Nordrhein-Westfalen,51.98486125,8.30035256095081,276
769,Steinheim,32839,Nordrhein-Westfalen,51.8659636,9.092490099530554,276
770,Stemwede,32351,Nordrhein-Westfalen,52.36695245,8.460379106366883,210
771,Stolberg,52222,Nordrhein-Westfalen,50.7783424,6.222603860296372,235
772,Stolberg,52223,Nordrhein-Westfalen,50.76885395,6.208344375936884,251
773,Stolberg,52224,Nordrhein-Westfalen,50.736776299999995,6.2859994901878915,168
774,Straelen,47638,Nordrhein-Westfalen,51.42157335,6.25648491733813,272
775,Südlohn,46354,Nordrhein-Westfalen,51.9503192,6.863280788717517,186
776,Sundern,59846,Nordrhein-Westfalen,51.3136936,8.020782544661637,185
777,Swisttal,53913,Nordrhein-Westfalen,50.671235700000004,6.958503946672963,156
778,Tecklenburg,49545,Nordrhein-Westfalen,52.22238285,7.884527220580487,189
779,Telgte,48291,Nordrhein-Westfalen,51.973543,7.7973224,167
780,Titz,52445,Nordrhein-Westfalen,51.036224,6.449274877967807,174
781,Tönisvorst,47918,Nordrhein-Westfalen,51.31333895,6.459069048563378,204
782,Troisdorf,53840,Nordrhein-Westfalen,50.80819165,7.158783893434348,151
783,Troisdorf,53842,Nordrhein-Westfalen,50.81378170000001,7.142995421561771,194
784,Troisdorf,53844,Nordrhein-Westfalen,50.80025535,7.131680551968515,150
785,Übach-Palenberg,52531,Nordrhein-Westfalen,50.9247686,6.104328620911372,292
786,Uedem,47589,Nordrhein-Westfalen,51.6755786,6.2936017234857795,275
787,Unna,59423,Nordrhein-Westfalen,51.5341656,7.69042700599825,190
788,Unna,59425,Nordrhein-Westfalen,51.5409421,7.699214200000001,170
789,Unna,59427,Nordrhein-Westfalen,51.5324412,7.6494081254696225,202
790,Velbert,42549,Nordrhein-Westfalen,51.33978445,7.0238478498289405,156
791,Velbert,42551,Nordrhein-Westfalen,51.3464187,7.061615665437938,274
792,Velbert,42553,Nordrhein-Westfalen,51.315660799999996,7.108825005906488,257
793,Velbert,42555,Nordrhein-Westfalen,51.35434095,7.120956429932474,297
794,Velen,46342,Nordrhein-Westfalen,51.89652545,6.955145387919903,171
795,Verl,33415,Nordrhein-Westfalen,51.87400155,8.493112757315474,285
796,Versmold,33775,Nordrhein-Westfalen,52.0429581,8.174533973245998,298
797,Vettweiß,52391,Nordrhein-Westfalen,50.74247035,6.600592620569619,259
798,Viersen,41747,Nordrhein-Westfalen,51.2445986,6.3757812439230594,258
799,Viersen,41748,Nordrhein-Westfalen,51.24667375,6.436710680616245,277
800,Viersen,41749,Nordrhein-Westfalen,51.28100525,6.374126782522174,174
801,Viersen,41751,Nordrhein-Westfalen,51.25206350000001,6.322365684659461,277
802,Vlotho,32602,Nordrhein-Westfalen,52.19302879999999,8.87070085,216
803,Voerde (Niederrhein),46562,Nordrhein-Westfalen,51.59963070000001,6.655406745578975,273
804,Vreden,48691,Nordrhein-Westfalen,52.0456811,6.823658774999997,215
805,Wachtberg,53343,Nordrhein-Westfalen,50.6493163,7.1563264358691265,155
806,Wachtendonk,47669,Nordrhein-Westfalen,51.40219625,6.335062405456058,249
807,Wadersloh,59329,Nordrhein-Westfalen,51.7186021,8.217246189096798,173
808,Waldbröl,51545,Nordrhein-Westfalen,50.86907615,7.630670020575784,184
809,Waldfeucht,52525,Nordrhein-Westfalen,51.05487655,6.164823000935313,173
810,Waltrop,45731,Nordrhein-Westfalen,51.62746805,7.411488282562597,202
811,Warburg,34414,Nordrhein-Westfalen,51.559329299999995,9.0517189,150
812,Warendorf,48231,Nordrhein-Westfalen,51.92067865,7.963542582159362,174
813,Warstein,59581,Nordrhein-Westfalen,51.4592752054533,8.341880402438639,203
814,Wassenberg,41849,Nordrhein-Westfalen,51.1123008,6.139087334900722,166
815,Weeze,47652,Nordrhein-Westfalen,51.58961325,6.176001924407129,285
816,Wegberg,41844,Nordrhein-Westfalen,51.14423085,6.278435018712044,248
817,Weilerswist,53919,Nordrhein-Westfalen,50.74096885,6.8770044948275855,214
818,Welver,59514,Nordrhein-Westfalen,51.6194644,7.997348626235355,248
819,Wenden,57482,Nordrhein-Westfalen,50.9639054,7.85726873863044,272
820,Werdohl,58791,Nordrhein-Westfalen,51.2537344,7.751938816772682,245
821,Werl,59457,Nordrhein-Westfalen,51.5522372,7.916825465184817,193
822,Wermelskirchen,42929,Nordrhein-Westfalen,51.1189502,7.187412828696807,252
823,Werne,59368,Nordrhein-Westfalen,51.67955585,7.651710319578268,153
824,Werther,33824,Nordrhein-Westfalen,52.0792099,8.42201350418306,171
825,Wesel,46483,Nordrhein-Westfalen,51.66310655,6.6173889418733385,174
826,Wesel,46485,Nordrhein-Westfalen,51.6645193,6.669345667994723,229
827,Wesel,46487,Nordrhein-Westfalen,51.66803915,6.556013425374959,162
828,Wesseling,50389,Nordrhein-Westfalen,50.8190364,6.979840085108394,297
829,Westerkappeln,49492,Nordrhein-Westfalen,52.31556345,7.863467683460746,211
830,Wetter (Ruhr),58300,Nordrhein-Westfalen,51.40240475,7.341255450661649,299
831,Wettringen,48493,Nordrhein-Westfalen,52.23451715,7.280909386474968,230
832,Wickede (Ruhr),58739,Nordrhein-Westfalen,51.49550095,7.8816843575970115,162
833,Wiehl,51674,Nordrhein-Westfalen,50.96190475,7.531678517133429,151
834,Willebadessen,34439,Nordrhein-Westfalen,51.60636014941976,9.086249756447426,185
835,Willich,47877,Nordrhein-Westfalen,51.26128575,6.523193167643982,232
836,Wilnsdorf,57234,Nordrhein-Westfalen,50.8184619,8.106677180597009,206
837,Windeck,51570,Nordrhein-Westfalen,50.79989485,7.613226505916005,289
838,Winterberg,59955,Nordrhein-Westfalen,51.2601482,8.533947731172148,258
839,Wipperfürth,51688,Nordrhein-Westfalen,51.10904555,7.382379954813522,254
840,Witten,58452,Nordrhein-Westfalen,51.4086153,7.319443544221718,184
841,Witten,58453,Nordrhein-Westfalen,51.4160184,7.37553574264069,287
842,Witten,58454,Nordrhein-Westfalen,51.48064205,7.371356728134312,180
843,Witten,58455,Nordrhein-Westfalen,51.44414045,7.32446285,290
844,Witten,58456,Nordrhein-Westfalen,51.3962485,7.29405472337391,268
